Casablanca,Casablanca,الدار البيضاء
Oujda,Oujda,وجدة
Meknes,Meknès,مكناس
El Jadida,El Jadida,الجديدة
Tan-Tan,Tan-Tan,طانطان
Agadir,Agadir,أگادير
Safi,Safi,آسفي
Nador,Nador,الناظور
Tinghir,Tinghir,تنغير
Rissani,Rissani,الريصاني
Skhirat,Skhirat,الصخيرات
Tiflet,Tiflet,تيفلت
Khemisset,Khémisset,الخميسات
Taza,Taza,تازة
Imlil,Imlil,إمليل
Ifrane,Ifrane,إفران
Azrou,Azrou,أزرو
El Hajeb,El Hajeb,الحاجب
Arfoud,Erfoud,أرفود
Midelt,Midelt,ميدلت
Mirleft,Mirleft,ميرلفت
Essaouira,Essaouira,الصويرة
Taroudant,Taroudant,تارودانت
Sidi Ifni,Sidi Ifni,سيدي إفني
Tiznit,Tiznit,تزنيت
Tata,Tata,طاطا
Ouarzazate,Ouarzazate,ورزازات
Fez,Fès,فاس
Rabat,Rabat,الرباط
Chichaoua,Chichaoua,شيشاوة
Chefchaouen,Chefchaouen,شفشاون
Oukaïmeden,Oukaimeden,أوكايمدن
Dakhla,Dakhla,الداخلة
Taghjijt,Taghjijt,تغجيجت
Bouizakarne,Bouizakarne,بو يزكارن
Guelmim,Guelmim,كلميم
Taznakht,Taznakht,تازناخت
Aït Benhaddou,Aït Ben Haddou,آيت بن حدو
Tafraout,Tafraout,تافراوت
Zagora,Zagora,زاكورة
Taliouine,Taliouine,تالوين
Oued Laou,Oued Laou,وادي لو
Issaguen,Issaguen,اساكن
Al Hoceima,Al Hoceima,الحسيمة
Saïdia,Saïdia,السعيدية
Ahfir,Ahfir,أحفير
Berkane,Berkane,بركان
Tendrara,Tendrara,تندرارة
Bouarfa,Bouarfa,بوعرفة
Figuig,Figuig,فكيك
Bni Tadjite,Bni Tadjite,بني تادجيت
Errachidia,Er Rachidia,الرشيدية
Zaida,Zaida,زايدة
Salé,Salé,سلا
Tétouan,Tétouan,تطوان
Sidi Zouine,Sidi Zouine,سيدي الزوين
Imouzzer Kandar,Imouzzer Kandar,إيموزار كندر
Sefrou,Sefrou,صفرو
Meski,Meski,مسكي
Tounfit,Tounfite,تونفيت
Boulemane,Boulemane,بولمان
Imilchil,Imilchil,إملشيل
Marrakesh,Marrakech,مراكش
Amskroud,Amskroud,أمسكروض
Tamri,Tamri,تامري
Aourir,Aourir,أورير
Souk El Arbaa,Souk El Arba Du Gharb,سوق الأربعاء الغرب
Oulmes,Oulmès,ولماس
Imzouren,Imzouren,إمزورن
